Neo Reference ID;name;diameter;close_approach_date;velocity;miss_distance;orbiting_body;Orbit Determination Date;Inclination;is_hazardous
3759293;3759293;0.1132504611;2009-10-22;45504.7755341688;63180436.0;Earth;2017-04-06 08:23:59;5.152429791312739;False
3478249;3478249;0.0986370281;2009-11-08;73430.535535618;4463397.0;Earth;2017-04-06 08:59:02;4.46434878780733;False
2003753;2003753;4.5085820617;2009-11-08;89622.7488463475;61144104.0;Earth;2017-09-17 06:18:51;19.80535260970397;False
2416002;2416002;0.4721064988;2009-11-08;50136.2461143691;72983632.0;Earth;2017-04-06 09:21:23;27.75263660449618;False
3437789;3437789;0.0651688382;2009-11-08;52557.2888140735;16223715.0;Earth;2017-04-06 09:02:16;12.38283450399265;False
3477943;3477943;0.6516883822;2009-11-08;55225.4074188998;47646500.0;Earth;2017-04-06 08:59:05;20.67504118224058;False
3604618;3604618;0.2844722965;2009-11-08;80359.6266117706;52217160.0;Earth;2017-04-06 08:49:44;8.625024797281236;True
3736412;3736412;0.0187948982;2009-11-08;18416.9566005688;26523294.0;Earth;2017-04-06 08:29:59;7.640727040154666;False
3478253;3478253;0.0594346868;2009-11-15;34816.2863297237;1863068.5;Earth;2017-04-06 08:59:01;5.407510160007707;False
2218017;2218017;0.7145621017;2009-11-15;30323.0111376779;17889448.0;Earth;2017-04-06 09:25:17;12.00358403194008;False
3083026;3083026;0.8590926012;2009-11-15;11984.1424939285;53130012.0;Earth;2017-09-28 06:48:13;5.605668222800739;False
3409964;3409964;0.411187571;2009-11-15;26514.9418891868;36492468.0;Earth;2017-04-06 09:03:32;7.906473496389842;True
3477702;3477702;0.0259441818;2009-11-15;91222.847942927;263657.28125;Earth;2017-04-06 08:59:07;2.776929303081851;False
3763272;3763272;0.1879489824;2009-11-15;88844.7787152001;52883784.0;Earth;2017-04-06 08:22:31;24.31093523278074;False
3768653;3768653;0.3420109247;2009-11-15;37979.6530173275;65558068.0;Earth;2017-04-06 08:20:15;10.48001910777009;False
3476133;3476133;0.1081533507;2009-11-22;16713.5737956319;27864130.0;Earth;2017-04-06 08:59:13;2.173781050314564;False
